freq,temp,b_pk,b_pp_half,waveform,b_form,crest_dB,duty_pos,purity,p_ml,p_se,in_dist,nn_dist,g4_ok,g5_ok,gate_pass
155176.56801860098,90.0,0.25777087681952865,0.25775765285458724,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,2046513.677995208,1958364.3636899004,False,1.5419183228951747,True,True,False
161361.04000572133,90.0,0.24789131254100577,0.24787859540993662,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,2618917.390716522,1941574.226616226,False,1.3202831835619977,True,True,False
167791.99053175893,90.0,0.23839040155155067,0.23837817182897153,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,2558292.6406075256,1924928.040641829,False,1.1134622811409427,True,True,False
174479.24285572086,90.0,0.22925363123610362,0.2292418702411473,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,2558292.6406075256,1908424.5715946015,False,0.9276735491066226,True,True,False
181433.01173689478,90.0,0.22046704520347174,0.22045573497125126,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,2927105.3541889763,1892062.595883673,False,0.7706848310531637,True,True,False
188663.9190378682,90.0,0.21201722196797623,0.21200634522214337,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,2927105.3541889763,1875840.9004086717,False,0.6553453291033365,True,True,False
196183.00994939107,90.0,0.20389125444817427,0.2038807945745301,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,2927105.3541889763,1859758.2824698302,False,0.5980782727102579,True,True,False
204001.76986187685,90.0,0.19607673025132447,0.19606667127244112,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,2999976.618910135,1843813.5496787636,False,0.5839059296685776,True,True,False
212132.14190930122,90.0,0.18856171271349495,0.18855203926431022,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,2846077.3582028495,1828005.5198701085,False,0.6291470557224378,True,True,False
220586.54521230925,90.0,0.18133472266633924,0.18132541997068646,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,2846077.3582028495,1812333.0210138573,False,0.7223839733744964,True,True,False
229377.89384838412,90.0,0.17438472090270168,0.17437577475073918,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,2899926.3128785538,1796794.8911284488,False,0.6750209129390198,True,True,False
238519.6165780681,90.0,0.1677010913142563,0.1676924880407619,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,2899926.3128785538,1781389.9781946233,False,0.6176033329662748,True,True,False
248025.67735735304,90.0,0.16127362467543382,0.1612653511389312,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,2899926.3128785538,1766117.1400700554,False,0.6093836019418678,True,True,False
257910.59666758825,90.0,0.15509250304885522,0.15508454661154042,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,2829728.388510951,1750975.244404598,False,0.6266859083607738,True,True,False
268189.4736954712,90.0,0.14914828478846245,0.14914063329689967,sine,0.7076721902781228,1.4173784022093827,0.5,0.9999997363568122,2073686.8110668485,1735963.168556378,False,0.6608432725463224,True,True,False
